agent_id,campaign,productivity_score,avg_contacts,avg_adherence,avg_qa,avg_csat,days_worked
AGT-062,Customer Retention,87.35,48.64,95.89,91.97,89.58,87
AGT-043,Billing & Collections,86.32,54.4,96.09,92.41,78.52,87
AGT-052,Billing & Collections,86.03,61.02,95.14,86.65,77.08,89
AGT-056,Billing & Collections,85.77,57.86,98.3,92.61,69.72,86
AGT-007,Tech Support,85.76,54.57,93.4,88.63,83.13,84
AGT-058,Billing & Collections,85.55,61.07,88.46,92.08,77.69,83
AGT-067,Customer Retention,85.47,44.34,97.59,89.23,87.44,83
AGT-060,Billing & Collections,85.43,73.72,96.96,79.92,65.46,83
AGT-038,Billing & Collections,85.38,65.99,91.18,89.64,70.86,88
AGT-001,Tech Support,85.16,52.69,94.53,87.94,82.08,88
